sr,gs,load,rate,ts,label
48828,0.3996673,250,25,0,2
48828,0.9173348,250,25,1,2
48828,-1.249148,250,25,2,2
48828,-1.118399,250,25,3,2
48828,-0.2871432,250,25,4,2
48828,-0.2115365,250,25,5,2
48828,-1.059134,250,25,6,2
48828,-1.074234,250,25,7,2
48828,-0.402153,250,25,8,2
48828,-1.264038,250,25,9,2
48828,-0.4288443,250,25,10,2
48828,0.1419841,250,25,11,2
48828,-1.405321,250,25,12,2
48828,-0.7824265,250,25,13,2
48828,-0.1989599,250,25,14,2
48828,-0.09520987,250,25,15,2
48828,-0.2310534,250,25,16,2
48828,0.3998396,250,25,17,2
48828,-0.06523297,250,25,18,2
48828,0.8093392,250,25,19,2
48828,0.2652143,250,25,20,2
48828,0.3117179,250,25,21,2
48828,-0.2580646,250,25,22,2
48828,0.2660142,250,25,23,2
48828,1.137904,250,25,24,2
48828,-0.1915888,250,25,25,2
48828,-0.4495057,250,25,26,2
48828,-0.03672047,250,25,27,2
48828,-0.1395107,250,25,28,2
48828,-1.007807,250,25,29,2
48828,0.7490655,250,25,30,2
48828,-0.3192244,250,25,31,2
48828,-0.4304687,250,25,32,2
48828,-0.524571,250,25,33,2
48828,0.9300712,250,25,34,2
48828,0.718744,250,25,35,2
48828,-0.9873055,250,25,36,2
48828,-0.1200799,250,25,37,2
48828,-0.2259096,250,25,38,2
48828,-0.1599998,250,25,39,2
48828,-0.07532372,250,25,40,2
48828,-0.1200183,250,25,41,2
48828,-0.6156831,250,25,42,2
48828,-1.876091,250,25,43,2
48828,0.4115301,250,25,44,2
48828,-0.2083862,250,25,45,2
48828,-1.088964,250,25,46,2
48828,-1.463601,250,25,47,2
48828,-0.367623,250,25,48,2
48828,0.8311573,250,25,49,2
48828,0.2046944,250,25,50,2
48828,-0.1187139,250,25,51,2
48828,-0.8102006,250,25,52,2
48828,0.5512254,250,25,53,2
48828,0.7398731,250,25,54,2
48828,-0.9890776,250,25,55,2
48828,-1.060586,250,25,56,2
48828,0.7930833,250,25,57,2
48828,-0.5825559,250,25,58,2
48828,0.2201997,250,25,59,2
48828,-0.5370737,250,25,60,2
48828,0.2173571,250,25,61,2
48828,-0.3017256,250,25,62,2
48828,-0.09012757,250,25,63,2
48828,-0.658741,250,25,64,2
48828,-0.5784335,250,25,65,2
48828,-0.3196305,250,25,66,2
48828,-0.7129357,250,25,67,2
48828,-1.505231,250,25,68,2
48828,-0.9650689,250,25,69,2
48828,-0.1909612,250,25,70,2
48828,-0.3295613,250,25,71,2
48828,-0.5689703,250,25,72,2
48828,-0.6446386,250,25,73,2
48828,-0.0457406,250,25,74,2
48828,0.07842477,250,25,75,2
48828,0.3644359,250,25,76,2
48828,-1.000436,250,25,77,2
48828,-0.2402212,250,25,78,2
48828,-0.2033408,250,25,79,2
48828,-0.06619282,250,25,80,2
48828,-0.714277,250,25,81,2
48828,-0.6015806,250,25,82,2
48828,-0.5076629,250,25,83,2
48828,-1.437414,250,25,84,2
48828,-1.235673,250,25,85,2
48828,0.3299181,250,25,86,2
48828,0.2190799,250,25,87,2
48828,-0.8753474,250,25,88,2
48828,-0.1576002,250,25,89,2
48828,-0.4612701,250,25,90,2
48828,0.1793568,250,25,91,2
48828,0.1157851,250,25,92,2
48828,-0.6095179,250,25,93,2
48828,-0.1371972,250,25,94,2
48828,0.9985776,250,25,95,2
48828,0.9193037,250,25,96,2
48828,-0.2224517,250,25,97,2
48828,-0.1281771,250,25,98,2
48828,-0.1281771,250,25,98,2